ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa,sentiment_sa_positive,sentiment_sa_negative,ollama_positive_value,ollama_positive_explanation,ollama_positive_raw,ollama_negative_value,ollama_negative_explanation,ollama_negative_raw,ollama_model
ENG30-00180962-n,Čin biranja nekoga.,['izbor'],"(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst 'Čin biranja nekoga' je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'Čin biranja nekoga' je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.""}",nije negativan,Tekst 'Čin biranja nekoga' je neutralan i ne sadrži izražene negativne emocije ili kvalitete.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst 'Čin biranja nekoga' je neutralan i ne sadrži izražene negativne emocije ili kvalitete.""}",mistral-small3.2:latest
ENG30-00892861-n,podučavanje držanjem predavanja o nekom predmetu (obično pred odeljenjem učenika ili studenata),['predavanje'],"(0.0, 0.0)",negative,Objektivan,Učimo se držati,Nije negativan,nije pozitivan,Tekst opisuje neutralnu aktivnost bez izražene pozitivne ili negativne konotacije.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje neutralnu aktivnost bez izražene pozitivne ili negativne konotacije.""}",nije negativan,Tekst opisuje neutralnu aktivnost bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu aktivnost bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-07132729-n,(fonologija) gubitak glasova unutar reči (kao u `haj'mo` za` hajdemo`),['sinkopa'],"(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst opisuje lingvistički fenomen bez izražavanja pozitivnih emocija ili stavova.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje lingvistički fenomen bez izražavanja pozitivnih emocija ili stavova.""}",nije negativan,Tekst opisuje lingvistički fenomen bez izražavanja negativnih emocija ili ocena.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje lingvistički fenomen bez izražavanja negativnih emocija ili ocena.""}",mistral-small3.2:latest
ENG30-00602112-v,usvojiti,"['prihvatati', 'prihvatiti', 'usvajati ', 'usvojiti']","(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Reč 'usvojiti' ima neutralan ili blago pozitivan konotacijski nijansu, ali ne dostizem dobar razine pozitivnosti da bi se klasifikovala kao 'slabo pozitivan'.","{""value"": ""nije pozitivan"", ""explanation"": ""Reč 'usvojiti' ima neutralan ili blago pozitivan konotacijski nijansu, ali ne dostizem dobar razine pozitivnosti da bi se klasifikovala kao 'slabo pozitivan'.""}",nije negativan,"Reč 'usvojiti' ima pozitivan konotacijski nijansu, jer se odnosi na prihvatljivost ili prihvaćanje nečega ili nekoga, što je neutralno ili blago pozitivno.","{""value"": ""nije negativan"", ""explanation"": ""Reč 'usvojiti' ima pozitivan konotacijski nijansu, jer se odnosi na prihvatljivost ili prihvaćanje nečega ili nekoga, što je neutralno ili blago pozitivno.""}",mistral-small3.2:latest
ENG30-10000158-n,Advokat koji zastupa odbranu.,"['advokat odbrane', 'branilac']","(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.""}",nije negativan,Tekst opisuje profesiju advokata bez izražavanja negativnih osećaja ili kritičnih komentar.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje profesiju advokata bez izražavanja negativnih osećaja ili kritičnih komentar.""}",mistral-small3.2:latest
ENG30-10016103-n,Neko ko veruje u neku doktrinu i pomaže da se ona širi.,"['pristalica', 'pristaša', 'privrženik']","(0.0, 0.0)",positive,Objektivan,Umjereno pozitivan,Nije negativan,nije pozitivan,"Tekst ne sadrži izražene pozitivne emocije ili kvalitete, već opisuje neutralnu radnju bez dodatnih pozitivnih atributa.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst ne sadrži izražene pozitivne emocije ili kvalitete, već opisuje neutralnu radnju bez dodatnih pozitivnih atributa.""}",nije negativan,Tekst opisuje neutralnu radnju bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu radnju bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-01482330-n,"Neka od brojnih morskih riba-mesoždera sa izduženim telom, i debelom kožom koja je prekrivena malim nazubljenim krljuštima.","['morski pas', 'ajkula']","(0.0, 0.0)",negative,Objektivan,Nijedan Tekst,Nije negativan,nije pozitivan,Tekst opisuje ribu na neutralan i opisni način bez izražavanja pozitivnih osećaja ili emocija.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje ribu na neutralan i opisni način bez izražavanja pozitivnih osećaja ili emocija.""}",nije negativan,"Tekst opisuje biološke karakteristike morskih riba na neutralan i objektivan način, bez izražavanja negativnih osećaja ili mišljenja.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje biološke karakteristike morskih riba na neutralan i objektivan način, bez izražavanja negativnih osećaja ili mišljenja.""}",mistral-small3.2:latest
ENG30-04525038-n,"Svilenkasta, gusta, čupava tkanina, ravna sa poleđina.","['baršun', 'somot', 'pliš', 'kadifa']","(0.0, 0.0)",positive,Objektivan,Umjereno pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje tkaninu na neutralan način, bez izražene pozitivne konotacije.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje tkaninu na neutralan način, bez izražene pozitivne konotacije.""}",nije negativan,Tekst opisuje karakteristike tkanine bez izražavanja negativnih osećaja ili mišljenja.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje karakteristike tkanine bez izražavanja negativnih osećaja ili mišljenja.""}",mistral-small3.2:latest
ENG30-01193721-v,ispuniti do mere u kojoj ste zadovoljni,"['ispuniti', 'napuniti', 'napuniti se', 'popuniti', 'puniti se', 'zasititi se']","(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst 'ispuniti do mere u kojoj ste zadovoljni' je neutralan i ne sadrži izražene pozitivne emocije, pa se klasifikuje kao 'nije pozitivan'.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'ispuniti do mere u kojoj ste zadovoljni' je neutralan i ne sadrži izražene pozitivne emocije, pa se klasifikuje kao 'nije pozitivan'.""}",nije negativan,"Tekst 'ispuniti do mere u kojoj ste zadovoljni' ne sadrži izrazite negativne kvalitete, već je neutralan ili blago pozitivan, što ga svrstava u kategoriju 'nije negativan'.","{""value"": ""nije negativan"", ""explanation"": ""Tekst 'ispuniti do mere u kojoj ste zadovoljni' ne sadrži izrazite negativne kvalitete, već je neutralan ili blago pozitivan, što ga svrstava u kategoriju 'nije negativan'.""}",mistral-small3.2:latest
ENG30-01485513-v,Odstraniti pakovanje sa nečega.,"['otpakovati', 'raspakovati', 'razmotati', 'odmotati', 'odviti']","(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Rek je neutralan i ne sadrži izražene pozitivne kvalitete.,"{""value"": ""nije pozitivan"", ""explanation"": ""Rek je neutralan i ne sadrži izražene pozitivne kvalitete.""}",nije negativan,Tekst opisuje neutralnu akciju bez izražene negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu akciju bez izražene negativne konotacije.""}",mistral-small3.2:latest
ENG30-09398076-n,jama ili rupa nastala habanjem ili atmosferskim dejstvom (posebno na površini puta),"['Džinovski lonac', 'jama', 'rupa']","(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Termin 'jama ili rupa nastala habanjem ili atmosferskim dejstvom' opisuje negativan fenomen koji uzrokuje oštećenja i neugodnosti, pa stoga ne pripada nijednoj pozitivnoj kategoriji.","{""value"": ""nije pozitivan"", ""explanation"": ""Termin 'jama ili rupa nastala habanjem ili atmosferskim dejstvom' opisuje negativan fenomen koji uzrokuje oštećenja i neugodnosti, pa stoga ne pripada nijednoj pozitivnoj kategoriji.""}",nije negativan,"Termin 'jama ili rupa nastala habanjem ili atmosferskim dejstvom' opisuje fizičku pojavu bez izražene negativne konotacije, već je neutralan ili deskriptivan.","{""value"": ""nije negativan"", ""explanation"": ""Termin 'jama ili rupa nastala habanjem ili atmosferskim dejstvom' opisuje fizičku pojavu bez izražene negativne konotacije, već je neutralan ili deskriptivan.""}",mistral-small3.2:latest
ENG30-02686625-v,učiniti da se šta dogodi ili da šta uzrokuje,"['dovesti', 'dovoditi', 'izvesti', 'izvoditi', 'odvesti', 'odvoditi', 'prevoditi', 'provesti', 'provoditi', 'pružati', 'pružiti', 'voditi']","(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst 'učiniti da se šta dogodi ili da šta uzrokuje' ne sadrži izrazite pozitivne kvalitete ili emocije, već je neutralan ili ambivalentan, što ga svrstava u kategoriju 'nije pozitivan'.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'učiniti da se šta dogodi ili da šta uzrokuje' ne sadrži izrazite pozitivne kvalitete ili emocije, već je neutralan ili ambivalentan, što ga svrstava u kategoriju 'nije pozitivan'.""}",nije negativan,"Tekst ne sadrži izražene negativne emocije ili kritike, već opisuje neutralnu situaciju.","{""value"": ""nije negativan"", ""explanation"": ""Tekst ne sadrži izražene negativne emocije ili kritike, već opisuje neutralnu situaciju.""}",mistral-small3.2:latest
ENG30-10557854-n,Učena osoba (posebno u društvenim naukama); neko ko je dugotrajnim učenjem ovladao jednom ili više disciplina.,"['učenjak', 'učena osoba', 'student']","(0.0, 0.0)",positive,Objektivan,Umereno pozitivan The,Nije negativan,pozitivan,"Tekst opisuje pozitivnu osobinu - učenost i stručnost, što ukazuje na pozitivan sentiment.","{""value"": ""pozitivan"", ""explanation"": ""Tekst opisuje pozitivnu osobinu - učenost i stručnost, što ukazuje na pozitivan sentiment.""}",nije negativan,Tekst opisuje pozitivan atribut (učena osoba) bez ikakvih negativnih konotacija.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje pozitivan atribut (učena osoba) bez ikakvih negativnih konotacija.""}",mistral-small3.2:latest
ENG30-02390258-n,Sterilni potomak muškog konja i ženskog magarca.,['mazga'],"(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Termin 'sterilni potomak muškog konja i ženskog magarca' ima negativnu konotaciju, jer se odnosi na neplodnost i genetsku hibridnost, što se obično smatra neželjеним u životinjskoj reprodukciji.","{""value"": ""nije pozitivan"", ""explanation"": ""Termin 'sterilni potomak muškog konja i ženskog magarca' ima negativnu konotaciju, jer se odnosi na neplodnost i genetsku hibridnost, što se obično smatra neželjеним u životinjskoj reprodukciji.""}",nije negativan,Opis je neutralan i opisuje biološku činjenicu bez izražavanja negativnih osećaja ili mišljenja.,"{""value"": ""nije negativan"", ""explanation"": ""Opis je neutralan i opisuje biološku činjenicu bez izražavanja negativnih osećaja ili mišljenja.""}",mistral-small3.2:latest
ENG30-09362316-n,Tačka gde vodeni tok utiče u veću vodenu površinu.,['ušće'],"(0.0, 0.0)",negative,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,Tekst opisuje neutralnu geografsku tačku bez izražene pozitivne ili negativne konotacije.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje neutralnu geografsku tačku bez izražene pozitivne ili negativne konotacije.""}",nije negativan,Tekst opisuje neutralnu geografsku tačku bez negativnih konotacija.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu geografsku tačku bez negativnih konotacija.""}",mistral-small3.2:latest
ENG30-07164546-n,Nešto što se nudi (kao predlog ili zahtev).,['ponuda'],"(0.0, 0.0)",positive,Objektivan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst ne sadrži izražene pozitivne emocije ili kvalitete, već neutralno opisuje situaciju.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst ne sadrži izražene pozitivne emocije ili kvalitete, već neutralno opisuje situaciju.""}",nije negativan,"Tekst 'Nešto što se nudi (kao predlog ili zahtev)' ne sadrži izrazite negativne konotacije, već neutralno opisuje situaciju.","{""value"": ""nije negativan"", ""explanation"": ""Tekst 'Nešto što se nudi (kao predlog ili zahtev)' ne sadrži izrazite negativne konotacije, već neutralno opisuje situaciju.""}",mistral-small3.2:latest
ENG30-03016953-n,visok elegantan sanduk sa fiokama,"['komoda', 'kredenac', 'orman', 'ormar']","(0.0, 0.0)",positive,Pozitivan,Veoma pozitivan    O,Nije negativan,pozitivan,"Tekst opisuje predmet sa pozitivnim karakteristikama kao što su 'visok' i 'elegantan', što ukazuje na umjerenu pozitivnu polarizaciju.","{""value"": ""pozitivan"", ""explanation"": ""Tekst opisuje predmet sa pozitivnim karakteristikama kao što su 'visok' i 'elegantan', što ukazuje na umjerenu pozitivnu polarizaciju.""}",nije negativan,Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.,"{""value"": ""nije negativan"", ""explanation"": ""Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.""}",mistral-small3.2:latest
ENG30-07592094-n,"komadi piletine ili drugog mesa dinstani sa npr. šargarepom, lukom i služe se sa rezancima ili knedlama",['paprikaš'],"(0.0, 0.0)",negative,Pozitivan,Umjereno pozitivan,Nije negativan,pozitivan,"Tekst opisuje ugodnu i ukusnu jelo, što ukazuje na pozitivan sentiment. Iako nema ekstremno pozitivnih izražaja, opis jela je definitivno pozitivan.","{""value"": ""pozitivan"", ""explanation"": ""Tekst opisuje ugodnu i ukusnu jelo, što ukazuje na pozitivan sentiment. Iako nema ekstremno pozitivnih izražaja, opis jela je definitivno pozitivan.""}",nije negativan,"Tekst opisuje običan recept za jelo, bez ikakvih negativnih konotacija ili emocija.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje običan recept za jelo, bez ikakvih negativnih konotacija ili emocija.""}",mistral-small3.2:latest
ENG30-00654885-n,Rad koji uključuje brigu i pažnju o nekome ili neyemu.,"['nega', 'staranje']","(0.0, 0.0)",positive,Pozitivan,Umereno pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje rad koji uključuje brigu i pažnju, ali ne sadrži izražene pozitivne emocije ili superlative koji bi ukazivali na jači pozitivan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje rad koji uključuje brigu i pažnju, ali ne sadrži izražene pozitivne emocije ili superlative koji bi ukazivali na jači pozitivan sentiment.""}",nije negativan,"Tekst opisuje rad koji uključuje brigu i pažnju, što su pozitivne karakteristike.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje rad koji uključuje brigu i pažnju, što su pozitivne karakteristike.""}",mistral-small3.2:latest
ENG30-07453638-n,svečani čin valdaočevog ustoličenja,"['koronacija', 'krunisanje']","(0.0, 0.0)",positive,Pozitivan,veoma pozitivan,Nije negativan,pozitivan,"Tekst 'svečani čin valdaočevog ustoličenja' ima pozitivnu konotaciju, ali nije ekstremno pozitivan jer ne sadrži superlative ili izrazito entuzijastične izraze.","{""value"": ""pozitivan"", ""explanation"": ""Tekst 'svečani čin valdaočevog ustoličenja' ima pozitivnu konotaciju, ali nije ekstremno pozitivan jer ne sadrži superlative ili izrazito entuzijastične izraze.""}",nije negativan,"Tekst opisuje svečani čin, što sugerira neutralan ili blago pozitivan kontekst bez izražene negativnosti.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje svečani čin, što sugerira neutralan ili blago pozitivan kontekst bez izražene negativnosti.""}",mistral-small3.2:latest
ENG30-14437976-n,visok stepen poštovanja stečen impresivnim poduhvatima ili postignućima,"['divljenje', 'poštovanje', 'respekt', 'uvažavanje']","(0.0, 0.0)",positive,Pozitivan,Veoma pozitivan    R,Nije negativan,veoma pozitivan,"Tekst opisuje visok stepen poštovanja, što je jako pozitivno, ali ne i ekstremno.","{""value"": ""veoma pozitivan"", ""explanation"": ""Tekst opisuje visok stepen poštovanja, što je jako pozitivno, ali ne i ekstremno.""}",nije negativan,Tekst opisuje pozitivan atribut (visok stepen poštovanja) bez izražene negativnosti.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje pozitivan atribut (visok stepen poštovanja) bez izražene negativnosti.""}",mistral-small3.2:latest
ENG30-04840405-n,ljubazan i blag stav prema ljudima,"['milosrđe', 'milostivost', 'velikodušnost']","(0.0, 0.0)",positive,Pozitivan,veoma pozitivan,Nije negativan,pozitivan,"Riječ 'ljubazan' i 'blag stav prema ljudima' izražavaju pozitivne kvalitete, ali nisu na najvišoj granici pozitivne skale.","{""value"": ""pozitivan"", ""explanation"": ""Riječ 'ljubazan' i 'blag stav prema ljudima' izražavaju pozitivne kvalitete, ali nisu na najvišoj granici pozitivne skale.""}",nije negativan,Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.,"{""value"": ""nije negativan"", ""explanation"": ""Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.""}",mistral-small3.2:latest
ENG30-00913551-a,koji ima zelenilo tokom cele godine (o biljkama),['zimzelen'],"(0.0, 0.0)",positive,Pozitivan,Umjereno pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje neutralnu karakteristiku biljke, bez izražene pozitivne ili negativne konotacije.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje neutralnu karakteristiku biljke, bez izražene pozitivne ili negativne konotacije.""}",nije negativan,Opis biljke sa zelenilom tokom cele godine je neutralan i ne sadrži negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Opis biljke sa zelenilom tokom cele godine je neutralan i ne sadrži negativne konotacije.""}",mistral-small3.2:latest
ENG30-01375831-a,opšte prihvaćen i uvažen,"['slavan', 'poznat', 'čuven', 'značajan', 'renomiran', 'priznat', 'proslavljen']","(0.0, 0.0)",positive,Pozitivan,veoma pozitivan,Nije negativan,slabo pozitivan,"Izraz 'opšte prihvaćen i uvažen' ima blago pozitivnu konotaciju, ali nije izrazito entuzijastičan ili ekstremno pozitivan.","{""value"": ""slabo pozitivan"", ""explanation"": ""Izraz 'opšte prihvaćen i uvažen' ima blago pozitivnu konotaciju, ali nije izrazito entuzijastičan ili ekstremno pozitivan.""}",nije negativan,Tekst 'opšte prihvaćen i uvažen' ne sadrži negativne konotacije i može se smatrati neutralnim ili blago pozitivnim.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst 'opšte prihvaćen i uvažen' ne sadrži negativne konotacije i može se smatrati neutralnim ili blago pozitivnim.""}",mistral-small3.2:latest
ENG30-13254805-n,Iznos za koji prihod nekog poslovanja premašuje troškove izrade.,['dobitak'],"(0.0, 0.0)",positive,Pozitivan,Veoma pozitivan Ov,Nije negativan,pozitivan,"Tekst opisuje pozitivan finansijski rezultat, što ukazuje na dobar poslovni performans.","{""value"": ""pozitivan"", ""explanation"": ""Tekst opisuje pozitivan finansijski rezultat, što ukazuje na dobar poslovni performans.""}",nije negativan,"Tekst opisuje pozitivan finansijski rezultat, što je neutralno ili blago pozitivno.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje pozitivan finansijski rezultat, što je neutralno ili blago pozitivno.""}",mistral-small3.2:latest
ENG30-02490877-v,Imati proslavu.,"['slaviti', 'svetkovati']","(0.0, 0.0)",positive,Pozitivan,Veoma pozitivan,Nije negativan,pozitivan,"Riječ 'proslava' ima pozitivnu konotaciju, ali nije na granici ekstremno pozitivnog.","{""value"": ""pozitivan"", ""explanation"": ""Riječ 'proslava' ima pozitivnu konotaciju, ali nije na granici ekstremno pozitivnog.""}",nije negativan,Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.,"{""value"": ""nije negativan"", ""explanation"": ""Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.""}",mistral-small3.2:latest
ENG30-00183090-b,(za naglašavanje značenja) izuzetno dobro,"['predivno', 'čudesno', 'sjajno', 'izvrsno', 'vrhunski', 'veličanstveno', 'izvanredno']","(0.0, 0.0)",positive,Pozitivan,veoma pozitivan,Nije negativan,ekstremno pozitivan,"Frazom 'izuzetno dobro' se izražava visoki stepen pozitivnosti, što odgovara gornjoj granici pozitivne SWN polarizacije.","{""value"": ""ekstremno pozitivan"", ""explanation"": ""Frazom 'izuzetno dobro' se izražava visoki stepen pozitivnosti, što odgovara gornjoj granici pozitivne SWN polarizacije.""}",nije negativan,Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.,"{""value"": ""nije negativan"", ""explanation"": ""Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.""}",mistral-small3.2:latest
ENG30-01983162-a,koji zaslužuje uvažavanje i poštovanje,"['častan', 'dobar', 'dobronameran', 'moralan', 'pošten', 'poštovan', 'pouzdan', 'siguran', 'ugledan', 'uredan', 'uvažen']","(0.0, 0.0)",positive,Pozitivan,veoma pozitivan,Nije negativan,pozitivan,"Tekst izražava pozitivne kvalitete kao što su uvažavanje i poštovanje, što ga svrstava u kategoriju 'pozitivan'.","{""value"": ""pozitivan"", ""explanation"": ""Tekst izražava pozitivne kvalitete kao što su uvažavanje i poštovanje, što ga svrstava u kategoriju 'pozitivan'.""}",nije negativan,"Tekst izražava pozitivne kvalitete kao što su uvažavanje i poštovanje, što ga svrstava u kategoriju 'nije negativan'.","{""value"": ""nije negativan"", ""explanation"": ""Tekst izražava pozitivne kvalitete kao što su uvažavanje i poštovanje, što ga svrstava u kategoriju 'nije negativan'.""}",mistral-small3.2:latest
ENG30-14438898-n,povoljna javna reputacija,"['dobar glas', 'obožavanje', 'popularnost', 'respekt', 'slava', 'ugled']","(0.0, 0.0)",positive,Pozitivan,veoma pozitivan,Nije negativan,slabo pozitivan,"Termin 'povoljna' ima blago pozitivno značenje, ali nije dovoljno jak da bi se klasifikovao kao 'pozitivan' ili jači.","{""value"": ""slabo pozitivan"", ""explanation"": ""Termin 'povoljna' ima blago pozitivno značenje, ali nije dovoljno jak da bi se klasifikovao kao 'pozitivan' ili jači.""}",nije negativan,"Termin 'povoljna javna reputacija' ima pozitivan konotacijski nijansu, što ga svrstava u kategoriju 'nije negativan' na SWN POS/NEG skali.","{""value"": ""nije negativan"", ""explanation"": ""Termin 'povoljna javna reputacija' ima pozitivan konotacijski nijansu, što ga svrstava u kategoriju 'nije negativan' na SWN POS/NEG skali.""}",mistral-small3.2:latest
ENG30-04829282-n,sklonost da se bude ljubazan i milostiv,"['milosrđe', 'milosrdnost', 'milost', 'milostivost', 'samilost', 'velikodušnost']","(0.0, 0.0)",positive,Pozitivan,veoma pozitivan,Nije negativan,pozitivan,"Riječ 'sklonost' ima neutralan ton, ali 'ljubazan' i 'milostiv' su pozitivni atributi koji ukupno daju pozitivan sentiment.","{""value"": ""pozitivan"", ""explanation"": ""Riječ 'sklonost' ima neutralan ton, ali 'ljubazan' i 'milostiv' su pozitivni atributi koji ukupno daju pozitivan sentiment.""}",nije negativan,Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.,"{""value"": ""nije negativan"", ""explanation"": ""Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.""}",mistral-small3.2:latest
ENG30-10407310-n,onaj koji voli i brani svoju zemlju,"['domoljub', 'patriota', 'rodoljub']","(0.0, 0.0)",positive,Pozitivan,Veoma pozitivan    R,Nije negativan,veoma pozitivan,"Tekst izražava jake pozitivne emocije i ponos prema svojoj zemlji, što odgovara kategoriji 'veoma pozitivan' na SWN skali.","{""value"": ""veoma pozitivan"", ""explanation"": ""Tekst izražava jake pozitivne emocije i ponos prema svojoj zemlji, što odgovara kategoriji 'veoma pozitivan' na SWN skali.""}",nije negativan,"Tekst izražava pozitivne osećaje prema zemlji, što ne odgovara ni jednoj od negativnih kategorija.","{""value"": ""nije negativan"", ""explanation"": ""Tekst izražava pozitivne osećaje prema zemlji, što ne odgovara ni jednoj od negativnih kategorija.""}",mistral-small3.2:latest
ENG30-04191595-n,Struktura koja pruža privatnost i zaštitu od opasnosti.,"['zaklon', 'sklonište']","(0.0, 0.0)",positive,Pozitivan,Veoma pozitivan,Nije negativan,pozitivan,"Tekst opisuje pozitivne kvalitete strukture, kao što su privatnost i zaštita, što ukazuje na pozitivan sentiment.","{""value"": ""pozitivan"", ""explanation"": ""Tekst opisuje pozitivne kvalitete strukture, kao što su privatnost i zaštita, što ukazuje na pozitivan sentiment.""}",nije negativan,"Tekst opisuje pozitivne kvalitete strukture, kao što su privatnost i zaštita, što ga svrstava u kategoriju 'nije negativan'.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje pozitivne kvalitete strukture, kao što su privatnost i zaštita, što ga svrstava u kategoriju 'nije negativan'.""}",mistral-small3.2:latest
ENG30-01041349-n,čin prinošenja hleba i vina prilikom pričesti,"['pričest', 'pričešće', 'religiozni prinos']","(0.0, 0.0)",positive,Pozitivan,Nije pozitivan,Nije negativan,pozitivan,"Tekst opisuje verski obred koji ima pozitivnu konotaciju, ali nije ekstremno pozitivan jer ne sadrži izrazito entuzijastične ili uzvišene izraze.","{""value"": ""pozitivan"", ""explanation"": ""Tekst opisuje verski obred koji ima pozitivnu konotaciju, ali nije ekstremno pozitivan jer ne sadrži izrazito entuzijastične ili uzvišene izraze.""}",nije negativan,Tekst opisuje versku radnju koja nema negativne konotacije.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje versku radnju koja nema negativne konotacije.""}",mistral-small3.2:latest
ENG30-01425892-v,maziti ili nežno milovati,['maziti'],"(0.0, 0.0)",positive,Pozitivan,Umereno pozitivan,Nije negativan,nije pozitivan,Tekst 'maziti ili nežno milovati' ne sadrži izrazite pozitivne kvalitete ili karakteristike koje bi ga svrstale u kategorije pozitivnog sentimenta.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'maziti ili nežno milovati' ne sadrži izrazite pozitivne kvalitete ili karakteristike koje bi ga svrstale u kategorije pozitivnog sentimenta.""}",nije negativan,Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.,"{""value"": ""nije negativan"", ""explanation"": ""Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.""}",mistral-small3.2:latest
ENG30-00169955-a,onaj koji deluje poput magneta; poseduje sposobnost da namami i privuče;,['privlačan'],"(0.0, 0.0)",positive,Pozitivan,Umereno pozitivan The,Nije negativan,pozitivan,"Tekst opisuje osobu sa pozitivnim kvalitetima kao što su privlačnost i sposobnost da privuče druge, što odgovara kategoriji 'pozitivan'.","{""value"": ""pozitivan"", ""explanation"": ""Tekst opisuje osobu sa pozitivnim kvalitetima kao što su privlačnost i sposobnost da privuče druge, što odgovara kategoriji 'pozitivan'.""}",nije negativan,"Tekst opisuje osobu sa pozitivnim kvalitetama kao što su privlačnost i sposobnost da privlači druge, što se ne svrstava u negativne kategorije.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje osobu sa pozitivnim kvalitetama kao što su privlačnost i sposobnost da privlači druge, što se ne svrstava u negativne kategorije.""}",mistral-small3.2:latest
ENG30-00309647-n,Putovanje organizovano sa specijalnim ciljem.,['ekspedicija'],"(0.0, 0.0)",positive,Pozitivan,Veoma pozitivan,Nije negativan,nije pozitivan,Tekst je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.,"{""value"": ""nije pozitivan"", ""explanation"": ""Tekst je neutralan i ne sadrži izražene pozitivne emocije ili kvalitete.""}",nije negativan,"Tekst opisuje putovanje organizovano sa specijalnim ciljem, što ne sadrži negativne konotacije ili emocije.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje putovanje organizovano sa specijalnim ciljem, što ne sadrži negativne konotacije ili emocije.""}",mistral-small3.2:latest
